,Open_time_unix,Open_time,open,high,low,close,volume,close_time_unix,Close_time,quote_volume,trans_count,taker_buy_volume,taker_buy_quote_volume,positive_p,negative_p,neutral_p
1172,2024-01-07 14:00:00,2024-01-07 14:00:00,2230.83,2243.0,2221.0,2239.23,19487.8852,2024-01-07 16:00:00,2024-01-07 16:00:00,43501689.62,52248.0,9735.0518,21735897.09,0.411475158,0.05575308729999999,0.5327717850000001
1173,2024-01-07 16:00:00,2024-01-07 16:00:00,2239.23,2249.98,2236.71,2248.6,11138.1,2024-01-07 18:00:00,2024-01-07 18:00:00,24992338.35,33412.0,5797.937,13010898.31,0.65267948375,0.015785892299999993,0.33153465849999997
1174,2024-01-07 18:00:00,2024-01-07 18:00:00,2248.6,2251.27,2234.48,2239.76,13422.2563,2024-01-07 20:00:00,2024-01-07 20:00:00,30110036.31,37696.0,6188.3517,13885430.8,0.40762751,0.021975173200000017,0.570397296
1175,2024-01-07 20:00:00,2024-01-07 20:00:00,2239.76,2239.76,2203.46,2221.42,35488.8704,2024-01-07 22:00:00,2024-01-07 22:00:00,78726158.53,74718.0,16507.4859,36619988.12,0.39679143225,0.2020819997875,0.401126565
1176,2024-01-07 22:00:00,2024-01-07 22:00:00,2221.42,2224.41,2188.88,2203.97,36241.3907,2024-01-08 00:00:00,2024-01-08 00:00:00,79904506.35,87140.0,16231.541,35790685.08,0.1724752068,0.25140636759999996,0.5761184180000001
1177,2024-01-08 00:00:00,2024-01-08 00:00:00,2203.98,2208.0,2166.38,2190.87,53975.4121,2024-01-08 02:00:00,2024-01-08 02:00:00,118003486.8,110225.0,24639.2861,53860450.49,0.6445975968,0.08168804662000001,0.2737143799
1178,2024-01-08 02:00:00,2024-01-08 02:00:00,2190.88,2198.4,2188.0,2196.59,22322.325,2024-01-08 04:00:00,2024-01-08 04:00:00,48960030.61,45219.0,12113.5372,26566837.41,0.4375298350825397,0.21201833325365077,0.35045182493650795
1179,2024-01-08 04:00:00,2024-01-08 04:00:00,2196.59,2230.0,2194.67,2224.08,40184.1146,2024-01-08 06:00:00,2024-01-08 06:00:00,89101591.38,97176.0,23497.6287,52106077.82,0.5855750947333334,0.060404341478333345,0.3540205716
1180,2024-01-08 06:00:00,2024-01-08 06:00:00,2224.07,2234.0,2204.47,2211.06,25999.9854,2024-01-08 08:00:00,2024-01-08 08:00:00,57792187.14,62508.0,13484.2783,29979185.66,0.3643235803047619,0.22442942446642855,0.4112469815476191
1181,2024-01-08 08:00:00,2024-01-08 08:00:00,2211.06,2242.0,2208.08,2240.61,30230.0433,2024-01-08 10:00:00,2024-01-08 10:00:00,67320146.3,68023.0,18143.4984,40407754.0,0.32868373,0.014750327000000008,0.6565659
1182,2024-01-08 10:00:00,2024-01-08 10:00:00,2240.61,2275.0,2239.81,2265.47,69605.7418,2024-01-08 12:00:00,2024-01-08 12:00:00,157309297.5,129549.0,38779.1544,87631084.1,0.7188496726666667,0.1037145085,0.17743582539999997
1183,2024-01-08 12:00:00,2024-01-08 12:00:00,2265.48,2283.02,2256.03,2269.59,43520.82,2024-01-08 14:00:00,2024-01-08 14:00:00,98670366.93,79258.0,22202.4518,50341739.73,0.47716410432,0.160226348224,0.3626095326
1184,2024-01-08 14:00:00,2024-01-08 14:00:00,2269.59,2307.69,2259.39,2306.82,52945.1394,2024-01-08 16:00:00,2024-01-08 16:00:00,120701251.4,94868.0,28670.7987,65381404.87,0.6925446982,0.021490093439999997,0.28596520676000003
1185,2024-01-08 16:00:00,2024-01-08 16:00:00,2306.82,2358.2,2305.3,2354.56,106394.789,2024-01-08 18:00:00,2024-01-08 18:00:00,248077279.1,179097.0,54517.6156,127138376.5,0.3040404144347826,0.21381725641982613,0.48214235510086956
1186,2024-01-08 18:00:00,2024-01-08 18:00:00,2354.57,2357.79,2332.71,2337.08,34820.3126,2024-01-08 20:00:00,2024-01-08 20:00:00,81630853.8,69215.0,15738.587,36890029.78,0.3067576355285714,0.12090689894857143,0.5723354672857143
1187,2024-01-08 20:00:00,2024-01-08 20:00:00,2337.08,2342.57,2325.36,2330.44,23167.4808,2024-01-08 22:00:00,2024-01-08 22:00:00,54056413.1,46749.0,11198.3538,26124163.17,0.5634416106666666,0.10047664915333335,0.3360817360666667
1188,2024-01-08 22:00:00,2024-01-08 22:00:00,2330.43,2336.7,2289.98,2309.36,52433.2266,2024-01-09 00:00:00,2024-01-09 00:00:00,121135334.9,100917.0,26030.0342,60142516.25,0.7643218624000001,0.05294013532666668,0.18273801575999998
1189,2024-01-09 00:00:00,2024-01-09 00:00:00,2309.35,2316.6,2306.0,2309.13,18942.4877,2024-01-09 02:00:00,2024-01-09 02:00:00,43783797.96,40120.0,9662.0544,22331961.83,0.6353737066666667,0.01361856735,0.35100772880000003
1190,2024-01-09 02:00:00,2024-01-09 02:00:00,2309.12,2319.01,2300.4,2308.77,17834.8982,2024-01-09 04:00:00,2024-01-09 04:00:00,41190902.89,42324.0,8786.6695,20298360.28,0.6365835686666667,0.017812815140000007,0.3456036144
1191,2024-01-09 04:00:00,2024-01-09 04:00:00,2308.77,2310.64,2297.26,2306.05,17160.8784,2024-01-09 06:00:00,2024-01-09 06:00:00,39545935.56,40601.0,8417.8696,19401233.78,0.6792795846666666,0.008968336759999987,0.3117520798
1192,2024-01-09 06:00:00,2024-01-09 06:00:00,2306.05,2311.3,2285.4,2291.37,25937.1034,2024-01-09 08:00:00,2024-01-09 08:00:00,59555685.99,63696.0,12138.6755,27874922.65,0.38702809250000003,0.08959982382666666,0.5233720823333333
1193,2024-01-09 08:00:00,2024-01-09 08:00:00,2291.37,2303.09,2289.0,2298.76,19742.3151,2024-01-09 10:00:00,2024-01-09 10:00:00,45331691.9,48745.0,10287.4871,23623690.53,0.58216095,0.027400768750000012,0.39043831500000004
1194,2024-01-09 10:00:00,2024-01-09 10:00:00,2298.77,2304.21,2226.78,2275.25,64947.5148,2024-01-09 12:00:00,2024-01-09 12:00:00,147673238.7,135558.0,31140.2277,70840225.32,0.5238866332000001,0.11323428719333334,0.36287907966666666
1195,2024-01-09 12:00:00,2024-01-09 12:00:00,2275.25,2283.02,2241.0,2257.18,46054.6301,2024-01-09 14:00:00,2024-01-09 14:00:00,104103829.0,98071.0,23141.3531,52310414.12,0.03939502,0.054055005,0.90655
1196,2024-01-09 14:00:00,2024-01-09 14:00:00,2257.18,2270.57,2243.41,2264.0,33731.0072,2024-01-09 16:00:00,2024-01-09 16:00:00,76169488.54,70112.0,17573.3765,39685497.55,0.47970428833333334,0.03668518433333336,0.4836105366666666
1197,2024-01-09 16:00:00,2024-01-09 16:00:00,2264.0,2278.03,2258.22,2270.91,20514.3891,2024-01-09 18:00:00,2024-01-09 18:00:00,46570741.36,54116.0,10371.3517,23549116.92,0.36627104450000003,0.14228754422857143,0.49144141942857145
1198,2024-01-09 18:00:00,2024-01-09 18:00:00,2270.91,2371.0,2247.72,2317.66,149828.5844,2024-01-09 20:00:00,2024-01-09 20:00:00,345073667.5,344139.0,73093.8518,168476060.0,0.4175030626666667,0.11965671439999997,0.4628402244444445
